Word,Frequency
নেয়া,12053
জানান,12022
ডিসেম্বর,12011
নির্বাচন,11985
আছে,11979
কোন,11958
স্থানীয়,11906
দ্বিতীয়,11887
সংখ্যা,11876
বিভাগের,11871
পরিচালক,11824
করেছে।,11823
যারা,11777
অনুষ্ঠিত,11698
মোট,11691
আবার,11687
ঘটনায়,11673
আন্তর্জাতিক,11654
কমিটির,11629
তখন,11622
মোহাম্মদ,11583
রাজধানীর,11534
পারে,11525
গেছে।,11508
ব্যবহার,11462
৬,11374
করেছেন।,11331
এটি,11320
হাসিনা,11282
দল,11257
এটা,11200
শুধু,11192
যেন,11128
সচিব,11117
থেকেই,11033
মারা,10953
পরিবারের,10919
সামনে,10904
যেতে,10755
খবর,10729
১৫,10641
হলেও,10620
সুযোগ,10613
পারে।,10557
হাতে,10554
সময়ে,10554
থানার,10514
এছাড়া,10508
দেশ,10500
গ্রামের,10468
এলাকার,10467
সোমবার,10414
ক্ষেত্রে,10349
সকালে,10334
দায়িত্ব,10332
সংবাদ,10327
বলেনnan,10323
রাতে,10284
২০,10262
নানা,10251
শনিবার,10240
কি,10235
পরীক্ষা,10213
ম্যাচে,10189
বিএনপির,10179
খুব,10086
অন্য,10073
প্রধানমন্ত্রীর,10026
বৃহস্পতিবার,10001
বুধবার,9977
জনের,9876
এগিয়ে,9868
পানি,9843
সংসদ,9826
করছে,9810
বিপক্ষে,9804
বাংলাদেশে,9763
সিটি,9748
রাখা,9719
রেখে,9713
অভিযান,9708
তো,9707
"হয়,",9698
মঙ্গলবার,9664
সাড়ে,9642
করোনার,9614
নির্বাহী,9597
অবস্থায়,9587
দুটি,9495
২৪,9477
দিনের,9470
গ্রহণ,9462
শিক্ষা,9440
সামাজিক,9438
শতাংশ,9431
দেয়ার,9423
৭,9417
খান,9412
অনুষ্ঠানে,9393
নারী,9387
যাবে,9381
জানানো,9376
৩০,9362
রাত,9354
আছে।,9348
সবচেয়ে,9341
আটক,9336
শুক্রবার,9293
"বলেছেন,",9289
চলে,9273
রাখতে,9267
ম্যাচ,9267
মেডিকেল,9251
অন্যান্য,9228
গতকাল,9228
মন্ত্রণালয়ের,9221
এম,9213
৮,9212
ভর্তি,9193
দেন,9162
পালন,9150
হক,9143
নেতা,9083
গ্রেপ্তার,9077
উল্লেখ,9053
এখনো,9041
ছেলে,9035
দক্ষিণ,8960
ডা.,8955
জানিয়েছেন,8929
চার,8920
পরিস্থিতি,8918
হওয়া,8910
ঢাকার,8885
লীগ,8885
আহত,8866
কার্যক্রম,8853
ছবি,8846
পাশে,8840
হলো,8836
যখন,8827
বর্তমানে,8768
টাকার,8708
সদর,8696
থাকতে,8674
তদন্ত,8669
nannannan,8661
ছিল।,8661
পেয়ে,8557
অতিরিক্ত,8531
কলেজ,8524
কে,8518
করছে।,8480
উন্নয়ন,8471
ব্যাপারে,8466
ফাইল,8466
এসে,8461
নয়।,8341
রাজনৈতিক,8323
হত্যা,8310
মাঠে,8306
ইউনিয়নের,8288
পক্ষ,8282
করছেন,8256
তাহলে,8242
বিক্রি,8219
পড়ে,8214
১২,8188
হাসান,8139
সকল,8137
মাঝে,8127
যার,8118
আলোচনা,8117
চিকিৎসা,8092
যাওয়ার,8085
বিএনপি,8037
চেয়ে,7999
দাম,7982
নম্বর,7943
যাচ্ছে,7922
পাঠানো,7882
থাকার,7875
অনুযায়ী,7872
জানতে,7866
হয়েছেন,7865
অর্থ,7852
১১,7846
কেন্দ্রীয়,7839
দ্রুত,7837
আহমেদ,7836
কী,7832
চৌধুরী,7818
বাড়ি,7808
"গেছে,",7770
"যায়,",7761
নিজেদের,7756
৯,7737
রান,7735
নিজ,7707
বাইরে,7701
করলে,7691
তাঁর,7691
জেলার,7686
জাতির,7665
সেটা,7660
আলম,7657
করোনায়,7649
মাস,7639
হয়নি।,7634
ব্যাংক,7628
মাত্র,7568
যোগাযোগ,7526
বর্তমান,7488
অভিনয়,7453
ক্রিকেট,7410
আইন,7401
সম্ভব,7394
উত্তর,7393
দিয়েছে,7385
গেছে,7376
মামলার,7359
সড়ক,7356
অধ্যাপক,7349
বক্তব্য,7343
কাজে,7339
আহ্বান,7322
সংশ্লিষ্ট,7319
"হয়েছে,",7315
সবাই,7315
নির্দেশনা,7309
দুপুরে,7304
নির্বাচনে,7293
দিয়েছেন,7290
বের,7277
কমিটি,7277
ব্যাংকের,7272
থানায়,7244
আলী,7243
মাসে,7227
অবস্থান,7208
প্রতিষ্ঠান,7203
১৪,7168
৫০,7154
সৃষ্টি,7152
মেনে,7128
জন।,7121
গেলে,7098
জানিয়ে,7067
অব,7050
উদ্দিন,7016
উপলক্ষে,7013
সবার,7000
ঘটনার,6997
নেই,6993
সেবা,6976
ভোট,6970
আল,6947
দশমিক,6933
ফিরে,6929
সমস্যা,6925
কয়েক,6894
২৫,6893
গড়ে,6893
জয়,6872
বিশ্বের,6863
পাঁচ,6860
মৃত্যুর,6855
ঠিক,6851
মাসের,6844
সম্পর্কে,6798
বঙ্গবন্ধুর,6771
পরিচালনা,6771
হওয়ায়,6768
যোগ,6748
ঢাকায়,6744
"না,",6728
পরিকল্পনা,6723
হাসিনার,6720
ছিলেন।,6719
মন্ত্রী,6682
আব্দুল,6659
পরিবহন,6652
গোল,6639
নির্দেশ,6628
মুক্তি,6625
চলতি,6606
সম্মেলনে,6537
কম,6532
নিরাপত্তা,6530
বিতরণ,6527
আশা,6488
চালু,6486
করবে,6473
থাকবে,6436
ঘরে,6431
তারা।,6418
হাসপাতালের,6409
দেখতে,6404
খালেদা,6399
শিশু,6341
নির্মাণ,6337
ভিডিও,6321
ছোট,6314
থাকায়,6308
সভায়,6303
থাকে।,6287
সহায়তা,6284
কাছ,6282
যাতে,6281
আগের,6280
চট্টগ্রাম,6268
প্রার্থী,6243
"নয়,",6231
সংক্রমণ,6210
প্রদান,6201
মেয়র,6181
স্থানে,6173
যাওয়া,6168
রহমানের,6164
আসা,6153
চালিয়ে,6106
বিশ্ববিদ্যালয়ের,6106
নেওয়া,6104
জানুয়ারি,6081
কাদের,6048
আদালতে,6045
ভাইরাস,6013
বিশ্ব,6013
কিংবা,6012
দেখে,5999
টাকা।,5995
কয়েকটি,5994
করবেন,5989
খাদ্য,5989
মন্ত্রণালয়,5983
প্রতিটি,5978
১৩,5970
রাখার,5963
মামলায়,5960
হাত,5939
পুরো,5938
অবস্থা,5927
সাংবাদিকদের,5927
দেন।,5913
বলতে,5899
প্রাথমিক,5897
জনগণের,5893
সংগ্রহ,5892
দিনে,5873
পরিষদের,5871
১৬,5869
এখানে,5860
বৈঠকে,5848
বেড়ে,5814
হয়েছেন।,5803
হন,5801
বাড়িতে,5792
ভারত,5791
আবেদন,5782
জীবন,5779
মূল,5779
সহকারী,5774
বলেন,5773
নেতৃত্বে,5772
সময়ের,5767
স্ত্রী,5767
ভাইরাসের,5752
আবদুল,5751
বলেও,5743
"জানায়,",5735
বাজারে,5729
ভারপ্রাপ্ত,5728
প্রেসিডেন্ট,5718
শনাক্ত,5716
মুখে,5697
মার্কিন,5691
মাদক,5682
বাংলা,5671
১৭,5643
মোঃ,5633
আগেই,5619
ধরা,5608
থাকে,5608
অব্যাহত,5600
বিমান,5582
পরিবর্তন,5564
মধ্য,5549
পক্ষে,5537
ভারতীয়,5526
গুরুত্বপূর্ণ,5524
নামের,5524
নেয়ার,5522
থাকলেও,5515
যেখানে,5488
১৮,5485
হাসপাতাল,5481
রোববার,5472
অন্যতম,5465
যান,5450
পর্যায়ে,5449
থানা,5437
মুজিবুর,5432
রবিবার,5418
জেনারেল,5417
তৃতীয়,5396
২১,5390
পথে,5379
"যে,",5374
চলাচল,5355
চাইলে,5345
বাকি,5339
উদ্যোগ,5333
পরিমাণ,5328
ছড়িয়ে,5317
যুক্ত,5303
হারিয়ে,5291
বিষয়,5280
সিনিয়র,5275
বাসায়,5263
মন্তব্য,5261
দলীয়,5259
বেসরকারি,5257
দেশটির,5239
মা,5237
আমাকে,5237
আয়োজন,5233
পদে,5208
এলাকা,5203
সংগৃহীত,5198
বেগম,5197
টিকা,5190
চলছে।,5184
সূত্রে,5155
ইউনিয়ন,5151
যাবে।,5144
যাচ্ছে।,5139
সংস্থা,5137
বাজার,5133
ওবায়দুল,5122
বাহিনীর,5121
প্রকল্প,5112
সম্প্রতি,5111
টেস্ট,5110
সুপার,5098
সারা,5094
মোবাইল,5088
পরীক্ষার,5088
হত্যার,5081
উদ্বোধন,5078
মহানগর,5069
ত্রাণ,5065
সুস্থ,5044
আবু,5041
রোহিঙ্গা,5034
শিকার,5031
বছরে,5012
অফিসার,5009
ইতোমধ্যে,4993
সর্বোচ্চ,4992
বাবা,4989
পরিবার,4985
বৈঠক,4981
প্রস্তুতি,4975
দেয়।,4971
পরবর্তী,4963
হয়েছিল,4947
গঠন,4935
উইকেট,4926
এসময়,4922
দেয়,4916
জরুরি,4902
ফেব্রুয়ারি,4900
প্রতিমন্ত্রী,4897
প্রশ্নের,4890
হন।,4890
প্রকল্পের,4888
চলছে,4886
আওতায়,4869
মৃত,4863
অর্থনৈতিক,4841
বিকেলে,4837
উপর,4835
আবুল,4819
যুগ্ম,4802
মিনিটে,4794
তাতে,4791
আসার,4789
মাহমুদ,4783
নমুনা,4781
মহাসচিব,4780
জারি,4779
মানুষকে,4776
চীনের,4775
বিষয়ক,4771
হার,4764
নির্বাচিত,4746
ছেড়ে,4741
জনকে,4740
নেমে,4738
কাজের,4730
করছেন।,4721
দীর্ঘ,4721
খেলতে,4710
নিয়মিত,4709
পদক্ষেপ,4705
জানিয়েছে,4700
সবাইকে,4688
গ্রেফতার,4684
করেছি।,4684
ঈদের,4679
কেন্দ্র,4668
বৃদ্ধি,4657
আর্থিক,4652
কমিশনার,4647
সহযোগিতা,4647
যেসব,4642
লক্ষ্য,4640
আছেন,4638
থাকলে,4620
ঋণ,4619
পেতে,4613
দুপুর,4611
লক্ষ্যে,4609
দেওয়ার,4605
ম্যাচের,4599
সেটি,4598
কেন,4593
পাওয়ার,4592
আনা,4586
সাংবাদিক,4586
ব্যাপক,4585
পণ্য,4584
প্রস্তাব,4582
ব্যবস্থাপনা,4578
কর্মসূচি,4576
বিচার,4562
ভাই,4560
২৬,4560
করবে।,4558
চিকিৎসক,4553
ভূমিকা,4551
উঠে,4551
এমনকি,4551
আসতে,4541
জবাবে,4541
যেমন,4536
বসে,4520
আসামি,4513
প্রয়োজন,4509
চুক্তি,4509
হামলা,4508
প্রতিষ্ঠানের,4507
থাকবে।,4506
পুলিশ।,4497
প্রয়োজনীয়,4493
প্রশ্ন,4486
তিনটি,4482
শ্রমিক,4479
মরদেহ,4471
অবৈধ,4471
অভিযোগে,4465
অন্যদিকে,4464
ঘণ্টায়,4457
ভোরের,4449
এদিকে,4435
ভিত্তিতে,4434
জমা,4428
১৯,4420
অধিদপ্তরের,4416
কিছুটা,4410
সেরা,4405
নির্বাচনের,4394
সৌদি,4387
৪০,4376
।,4375
একটু,4354
ব্যক্তি,4354
আগুন,4350
নিয়ন্ত্রণ,4349
সূত্র,4342
২২,4340
প্রতিদিন,4332
সদস্যদের,4332
মধ্যেই,4332
২৩,4331
কেজি,4320
অধিনায়ক,4312
রোগী,4306
এখনও,4303
ফুটবল,4285
চলচ্চিত্র,4283
নেন,4277
সহ,4270
আসনের,4269
দিয়েছে।,4268
অনেকেই,4262
আপনার,4254
খাবার,4254
কঠোর,4252
সরকার।,4252
সম্পর্ক,4247
করোনাভাইরাস,4246
স্বাভাবিক,4244
এরই,4242
কৃষি,4240
হয়েছিল।,4237
দায়ের,4236
আসে,4235
শিক্ষার্থীদের,4233
কার্যকর,4227
পরিস্থিতিতে,4227
বাস্তবায়ন,4226
উন্নত,4224
নয়,4221
তালিকা,4217
কমে,4214
ছবির,4214
প্রসঙ্গে,4207
চলমান,4198
সম্পন্ন,4195
অনুরোধ,4193
উৎপাদন,4187
স্বাস্থ্যবিধি,4185
হয়তো,4181
ডিজিটাল,4177
যান।,4177
উচ্চ,4176
মাস্ক,4170
বিয়ে,4169
কামাল,4160
একাধিক,4158
অ্যান্ড,4153
সম্মেলন,4145
কমিশন,4141
খেলা,4140
খাতে,4134
বিদ্যুৎ,4121
মালিক,4119
এবারের,4118
ঘটে।,4118
বেলা,4118
জায়গায়,4117
অন্তত,4115
বিকেল,4115
বাস,4102
ফোন,4100
অনুমোদন,4098
পার্টির,4088
লকডাউন,4080
"৭,",4075
অর্জন,4070
সুবিধা,4063
কুমার,4058
প্রথমে,4057
সিনেমা,4055
খুবই,4054
রানের,4053
সরাসরি,4051
নিয়ে,4050
"২৩,",4042
জানুয়ারি,4039
লাশ,4035
পিতা,4025
পরামর্শ,4016
"হোসেন,",4016
গান,4012
শহরের,4011
যাত্রী,4009
গভীর,4002
ছাড়াও,4001
ছয়,4001
স্থায়ী,3993
সভাপতিত্বে,3975
নিয়োগ,3968
সংকট,3952
শিল্প,3951
ভেঙে,3947
বিশ্ববিদ্যালয়,3939
প্রভাব,3927
করায়,3908
প্রতিবেদন,3906
অক্টোবর),3905
অতিথি,3902
সর্বোচ্চ,3897
মাথায়,3890
"৩,",3887
চিকিৎসাধীন,3886
"১,",3886
শিক্ষক,3876
আয়োজিত,3876
পরিবেশ,3875
জায়গা,3869
শীর্ষ,3860
ছুটি,3859
সংক্রান্ত,3858
করি,3855
২৭,3846
যদিও,3846
নদীর,3845
রয়েছেন,3835
নভেম্বর),3831
করছি।,3831
ডেঙ্গু,3819
শ্রদ্ধা,3816
হামলার,3810
"৪,",3805
২৮,3797
"২,",3792
৩১,3781
টি,3778
কার্যালয়ে,3776
সরবরাহ,3772
কাজী,3771
নিয়েছে,3769
কবির,3760
আইনের,3758
বরাদ্দ,3755
সংস্থার,3754
এত,3750
দীর্ঘদিন,3742
জিয়ার,3742
মিয়া,3739
"৫,",3737
গ্রুপের,3727
ভাগ,3726
অর্থাৎ,3726
"৬,",3726
"হবে,",3724
শহীদ,3717
সাংগঠনিক,3711
কীভাবে,3709
গাড়ি,3707
কখনো,3703
অত্যন্ত,3701
বাতিল,3691
আদালত,3686
জীবনের,3681
"১৫,",3671
করেই,3670
সংসদের,3668
জড়িত,3668
এসেছে,3664
"২৯,",3663
জানান।,3661
বোর্ডের,3660
"২৪,",3660
হাসিনা।,3659
"ইসলাম,",3657
প্রবেশ,3651
চিকিৎসার,3651
বাড়ির,3650
উপজেলায়,3646
ভাড়া,3644
বিভাগ,3639
অফিস,3637
বাজেট,3634
বল,3634
পেঁয়াজ,3632
পয়েন্ট,3630
মেয়ে,3629
সংগঠনের,3629
বিশ্বাস,3629
প্রযুক্তি,3622
জেলায়,3619
আসলে,3611
"১১,",3610
"১৯,",3609
খোলা,3599
জুলাই),3594
স্কুল,3593
জনপ্রিয়,3582
ধারণা,3576
পাকিস্তানের,3576
জুন),3576
ওসি,3567
"২৫,",3564
দলে,3563
"৩০,",3563
পরিচয়,3562
"২১,",3562
"১৮,",3561
গ্রামে,3556
সেপ্টেম্বর),3544
সাত,3543
"২০,",3542
সামগ্রী,3540
নিয়ন্ত্রণে,3539
"রহমান,",3531
কোভিড-১৯,3530
বাংলাদেশি,3529
"১৭,",3528
পুরস্কার,3521
দিয়েছেন।,3515
ব্যবসা,3514
সভা,3508
পারেন,3505
"৮,",3505
রেকর্ড,3501
সর্বশেষ,3495
চাল,3494
বিজ্ঞপ্তিতে,3489
"১০,",3488
অধিকার,3485
"২৮,",3481
প্রকাশিত,3475
"২৬,",3475
"১৪,",3474
দুর্নীতি,3473
গেছেন,3461
"২৭,",3460
খরচ,3459
"২২,",3457
ব্যবসায়ী,3456
কয়েকজন,3455
কর্তৃপক্ষ,3453
"১২,",3450
বার,3447
সদস্যরা,3433
ব্যক্তিগত,3431
ছাত্রলীগের,3430
২৯,3430
যাদের,3426
"১৩,",3425
নির্ধারণ,3423
কোচ,3421
"করেন,",3419
খেলার,3418
মুখোমুখি,3417
একমাত্র,3416
সন্ধ্যায়,3414
বিদেশি,3414
আসে।,3413
হঠাৎ,3411
টানা,3410
আসছে,3409
বাংলাদেশ।,3406
রক্ষা,3405
গুরুত্ব,3401
ফেলে,3399
মূলত,3397
উদ্যোগে,3393
করলেও,3388
তালিকায়,3387
প্রেস,3375
প্রচার,3372
অনুমতি,3372
নির্ধারিত,3369
"৯,",3368
মহাপরিচালক,3366
করবেন।,3366
বিয়ের,3366
অনেকে,3363
ঘণ্টা,3359
খেলে,3357
দিলে,3353
আয়,3348
৬০,3338
রাষ্ট্রপতি,3332
করোনাভাইরাসের,3331
কোথাও,3331
পরিষদ,3329
গবেষণা,3328
শারীরিক,3326
গুলি,3325
মডেল,3322
এদের,3308
সারাদেশে,3306
মির্জা,3304
শ্রমিকদের,3303
দিবস,3299
অথবা,3298
"বলছেন,",3297
করেছিলেন,3294
হলেন,3293
নিজেকে,3292
অনলাইন,3291
জয়ের,3286
সঠিক,3285
গেল,3284
সাল,3282
মুক্তিযোদ্ধা,3281
ক্লাব,3274
রায়,3267
অভিনেত্রী,3265
রিপোর্ট,3263
কেটে,3262
স্থগিত,3253
কোনও,3252
কাগজকে,3246
মিনিট,3238
এনে,3238
ছবিতে,3235
এসেছে।,3232
দিক,3230
ধর্ষণের,3228
ক্ষতিগ্রস্ত,3227
আরেক,3226
ক্ষতি,3225
মাছ,3225
আদালতের,3224
কর্মকর্তাদের,3223
স্বাধীনতা,3223
আনতে,3210
প্রশাসনের,3210
এন্ড,3209
অবশ্যই,3208
পরিস্থিতির,3208
মুখ,3205
মহিলা,3205
চূড়ান্ত,3202
"১৬,",3201
ব্যয়,3198
অথচ,3194
খুলে,3194
ঈদ,3185
আপনি,3182
কিলোমিটার,3179
পরিচালিত,3176
হয়েছে।,3171
"হচ্ছে,",3171
গোলাম,3170
সাকিব,3169
করি।,3165
রোগীর,3161
ভারতে,3158
সংগঠন,3145
বাদ,3143
এমপি,3132
ছাত্র,3132
ঘুরে,3131
পথ,3127
বিভাগে,3119
স্বামী,3118
অস্ত্র,3113
ফেব্রুয়ারি,3112
সপ্তাহে,3110
পরিণত,3110
প্রতিদিন/নিশাদ,3105
মুক্তির,3105
এজন্য,3104
ফল,3100
কর্মকর্তারা,3098
শোক,3097
বেশি।,3095
শিরোপা,3086
সতর্ক,3084
যুক্তরাষ্ট্রের,3083
শুরুর,3080
কলেজের,3080
"জানিয়েছেন,",3080
একে,3075
কেন্দ্রে,3074
জন্ম,3064
নেতাদের,3061
পোশাক,3060
"জন,",3059
গোয়েন্দা,3056
জমি,3044
ইসলামের,3041
ঝুঁকি,3034
পান,3029
আন্দোলন,3028
সফল,3028
পাকিস্তান,3027
পেছনে,3024
বোর্ড,3019
প্রমাণ,3018
স্বীকার,3016
১০০,3014
অবশ্য,3012
শিক্ষার্থী,3011
পেয়েছেন,3000
টি-টোয়েন্টি,2996
মিলিয়ে,2993
ভাইরাসে,2992
সাহায্য,2991
শত,2986
সময়,2976
চা,2975
সমিতির,2974
রাজধানী,2973
প্রতিবেদনে,2973
চাপ,2972
কারো,2971
প্রস্তুত,2968
যায়নি।,2963
বক্তব্যে,2962
বেতন,2962
সদস্যের,2958
পায়,2958
রকম,2956
তাদেরকে,2955
সম্ভাবনা,2954
অপরাধ,2950
ভবন,2948
আদেশ,2947
অনুষ্ঠান,2947
চান,2946
তুলনায়,2945
ভাবে,2944
মোকাবিলায়,2941
নিষেধাজ্ঞা,2938
পালিয়ে,2937
আগস্ট),2935
গ্রুপ,2930
সন্ধ্যা,2927
কমিশনের,2925
নিয়েছেন,2925
ভ্যাকসিন,2924
পূর্ব,2924
পারবে,2924
সামরিক,2921
আক্রান্তের,2917
তেল,2914
বয়স,2911
কিনা,2907
মাঠ,2907
চাই,2906
দাবিতে,2901
মহামারি,2900
ট্রেন,2895
জরিমানা,2894
মৌসুমে,2888
আমদানি,2884
সংসদে,2884
লেখা,2883
আটকে,2878
তারপর,2875
ফখরুল,2873
মে),2870
কঠিন,2866
বাহিনী,2864
এছাড়াও,2862
ধান,2856
স্থাপন,2854
কারাগারে,2854
তারিখ,2852
উদ্দেশে,2846
শরীরে,2844
সম্পদ,2844
স্বাধীনতার,2843
মূল্য,2840
ফিরিয়ে,2839
সিলেট,2832
নির্বাচনী,2831
নিরাপদ,2831
কাউন্সিলর,2829
গোলে,2823
শক্তিশালী,2822
ক্ষমতা,2821
উন্নয়নের,2815
আক্তার,2810
চীন,2808
ভুল,2806
পার,2806
(ওসি),2804
পেয়েছে,2803
নেওয়ার,2799
হয়নি,2798
ফেসবুক,2797
২০১৭,2797
ফের,2792
ডলার,2777
নাগরিক,2776
ওষুধ,2773
ফ্লাইট,2772
এপ্রিল),2772
স্বপ্ন,2771
গুরুতর,2768
মত,2765
সেখান,2765
লাভ,2765
নজরুল,2761
উপহার,2761
দৈনিক,2759
সফরে,2757
নারীর,2756
তেমন,2754
স্থান,2747
প্রশাসন,2746
সেগুলো,2744
"বলছে,",2744
সিরিজ,2744
"আছে,",2743
উদ্দেশ্যে,2741
হিসাবে,2741
এস,2741
চিঠি,2740
পারবেন,2739
হয়ে,2737
পানিতে,2733
দূর,2733
বলেন।,2730
প্রতিনিধি,2727
প্রকৌশলী,2726
নিজস্ব,2725
নিচে,2724
আপনারা,2723
আদায়,2719
বাণিজ্য,2714
ঘর,2703
তারকা,2703
সিনেমার,2701
সৈয়দ,2700
টিম,2700
সার্বিক,2700
সংক্রমণের,2699
অসহায়,2699
কামনা,2699
বয়সী,2698
ফায়ার,2697
গেছেন।,2689
চাহিদা,2687
আইনে,2687
বাবার,2687
কাউকে,2684
আলাদা,2684
ফেরত,2682
পড়ে।,2680
রানে,2678
নাকি,2677
পড়েছে,2676
নুরুল,2675
অভিনেতা,2675
আইনশৃঙ্খলা,2672
চায়,2671
বাধা,2671
মনোনয়ন,2667
সুরক্ষা,2665
মিলে,2664
"জানিয়েছে,",2661
স্বদেশ,2660
বিল,2659
বরং,2657
বৃষ্টি,2656
নেতৃত্ব,2652
পররাষ্ট্র,2641
দিয়ে,2640
খানের,2640
ভয়াবহ,2640
সেতু,2640
করপোরেশনের,2639
শাহ,2638
হল,2638
করিম,2635
জন্য।,2634
সার্ভিস,2632
ঘটনাস্থলে,2631
লোকজন,2626
দুর্ঘটনা,2625
বিক্ষোভ,2624
ভবনের,2624
চট্টগ্রামের,2622
লক্ষ,2621
বাড়িয়ে,2620
হোসেনের,2617
করলেন,2612
ধর্ষণ,2611
ধীরে,2610
যুবলীগের,2608
দূরত্ব,2607
চাকরি,2604
"খান,",2604
ঘরের,2602
"করে,",2601
রোহিঙ্গাদের,2600
পরিদর্শন,2599
ইউপি,2589
শহরে,2583
অভিযানে,2582
পররাষ্ট্রমন্ত্রী,2580
আশঙ্কা,2579
ব্যবধানে,2579
"অনুযায়ী,",2579
বিশ্বকাপ,2577
রাজনীতি,2575
পৌঁছে,2575
বজায়,2574
নেয়,2572
শতাংশ।,2571
বাংলাদেশকে,2570
ফাইনালে,2569
ওরফে,2568
মুক্তিযুদ্ধের,2563
মুক্ত,2560
হয়।,2560
বিপুল,2557
কিছুই,2554
মৃত্যুতে,2551
শেয়ার,2551
খুঁজে,2548
ফেরার,2548
দফা,2547
গ্যাস,2547
নদী,2546
বিনিয়োগ,2543
আঘাত,2542
আধুনিক,2538
নাটক,2537
ব্যক্তির,2537
অসুস্থ,2536
পড়া,2536
নিয়েই,2536
রোগ,2534
আওয়ামী,2525
প্রশাসক,2523
একসঙ্গে,2521
কারণেই,2521
সফর,2520
সহযোগী,2519
সিরিজের,2514
প্রতিরোধে,2510
রাখেন,2509
মুহূর্তে,2502
পড়েছে।,2502
করোনাভাইরাসে,2500
ডিসেম্বর),2500
"টাকা,",2499
বিরোধী,2498
যেহেতু,2497
খারাপ,2491
